transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
1,265.12,7,Clothing,0,0,70,0,42,0
2,3.98,8,Grocery,0,0,54,2,63,0
3,160.6,8,Clothing,1,0,75,4,19,0
4,208.43,2,Travel,1,0,66,4,38,0
5,306.05,5,Travel,1,0,86,3,28,0
6,10.1,17,Electronics,0,0,65,2,48,0
7,114.69,11,Grocery,0,0,32,2,45,0
8,134.39,23,Clothing,0,0,37,2,64,0
9,32.48,9,Food,1,0,39,2,43,0
10,68.25,14,Grocery,0,0,50,2,61,0
11,101.73,5,Clothing,0,0,92,1,52,0
12,314.02,10,Travel,0,0,85,1,41,0
13,464.77,12,Clothing,0,0,70,1,49,0
14,173.58,0,Travel,0,0,77,1,28,0
15,88.09,6,Grocery,0,0,76,4,54,0
16,51.38,16,Travel,0,0,82,5,39,0
17,705.69,15,Clothing,0,0,41,1,36,0
18,714.6,3,Electronics,0,0,87,1,37,0
19,454.1,9,Travel,0,0,64,3,51,0
20,270.05,0,Grocery,0,0,68,4,34,0
21,69.11,11,Clothing,0,0,84,3,29,0
22,297.76,20,Electronics,0,0,67,5,33,0
23,92.15,20,Travel,0,0,44,2,19,0
24,69.37,20,Grocery,1,0,58,3,34,0
25,239.49,15,Grocery,0,0,76,2,29,0
26,14.55,19,Travel,0,0,50,1,50,0
27,8.73,10,Electronics,0,0,50,1,37,0
28,104.17,8,Travel,0,0,69,3,44,0
29,103.43,19,Electronics,0,0,65,3,18,0
30,396.24,13,Clothing,0,0,49,3,40,0
31,23.64,0,Food,0,0,88,1,40,0
32,23.07,20,Clothing,0,0,66,1,53,0
33,27.97,10,Electronics,0,0,25,3,57,0
34,9.84,0,Grocery,1,0,37,5,59,1
35,5.29,7,Travel,0,0,70,1,18,0
36,676.07,5,Travel,1,0,46,2,60,1
37,13.05,18,Food,0,0,75,1,69,0
38,189.08,17,Electronics,0,0,76,3,40,0
39,99.04,5,Grocery,0,0,53,3,37,0
40,119.32,0,Food,0,0,41,3,20,1
41,252.87,10,Electronics,0,0,43,0,25,0
42,860.16,5,Clothing,0,0,62,4,58,0
43,188.65,5,Food,0,1,66,1,32,0
44,9.08,0,Food,0,0,77,2,67,0
45,19.36,4,Grocery,0,0,68,2,39,0
46,373.22,10,Grocery,0,0,84,1,40,0
47,131.45,0,Grocery,0,0,85,1,69,0
48,305.43,2,Grocery,1,0,62,3,42,0
49,340.53,15,Food,0,1,42,1,29,0
50,460.52,1,Food,0,0,82,3,42,0
51,524.64,10,Clothing,1,0,73,0,51,0
52,141.89,0,Clothing,0,0,42,2,42,0
53,73.12,14,Travel,1,0,57,1,37,0
54,572.74,9,Grocery,0,0,41,2,68,0
55,138.99,5,Clothing,0,0,25,0,40,0
56,11.64,0,Food,0,0,42,2,49,0
57,180.48,5,Grocery,0,0,25,1,22,0
58,155.34,16,Grocery,0,0,71,1,49,0
59,396.49,22,Grocery,0,0,63,4,26,0
60,185.67,10,Clothing,0,0,45,1,60,0
61,75.27,11,Electronics,0,0,76,1,44,0
62,594.03,7,Clothing,0,0,33,2,18,0
63,283.61,20,Travel,0,0,87,0,38,0
64,174.52,10,Food,0,0,53,6,69,0
65,60.77,17,Clothing,0,1,70,0,63,0
66,82.0,13,Electronics,1,0,41,1,45,0
67,194.37,12,Food,1,1,64,1,30,0
68,13.1,4,Grocery,0,0,60,1,53,0
69,52.01,23,Food,0,0,56,3,48,0
70,219.41,21,Food,0,0,52,1,40,0
71,114.66,23,Travel,0,0,70,2,21,0
72,90.26,4,Clothing,0,1,44,2,44,0
73,28.8,13,Food,0,0,25,1,34,0
74,102.24,6,Food,0,0,60,1,49,0
75,258.21,14,Travel,0,0,83,4,32,0
76,53.75,13,Grocery,0,0,28,0,48,0
77,0.95,8,Travel,0,0,63,2,69,0
78,193.59,10,Travel,0,0,62,1,69,0
79,630.87,23,Grocery,0,0,73,2,49,0
80,163.67,10,Electronics,0,0,64,1,68,0
81,22.4,0,Travel,0,0,48,1,37,0
82,67.81,8,Electronics,0,0,29,4,29,0
83,354.56,4,Travel,0,0,63,3,62,0
84,46.41,5,Grocery,0,0,48,3,29,0
85,164.06,16,Grocery,0,0,44,3,62,0
86,90.35,17,Clothing,0,0,64,7,23,0
87,40.85,5,Grocery,0,0,40,1,49,0
88,294.35,7,Electronics,0,0,64,2,27,0
89,238.1,6,Electronics,0,1,72,0,33,0
90,189.97,22,Travel,0,0,32,4,60,0
91,47.27,18,Electronics,0,0,81,2,64,0
92,18.06,16,Food,0,0,61,0,33,0
93,150.5,4,Grocery,0,0,82,0,60,0
94,141.44,0,Grocery,0,0,55,2,37,0
95,36.6,20,Travel,0,1,99,4,44,0
96,10.15,23,Grocery,0,0,91,1,34,0
97,74.01,5,Food,0,0,40,5,28,1
98,14.75,0,Food,0,0,62,2,35,0
99,864.32,23,Food,0,0,58,1,33,0
100,268.35,10,Clothing,1,0,25,1,22,0
101,447.25,12,Grocery,0,0,58,4,33,0
102,38.04,2,Clothing,0,0,67,1,32,0
103,566.88,0,Clothing,0,1,61,0,69,0
104,26.99,0,Grocery,0,0,65,0,57,0
105,124.74,18,Electronics,0,0,71,2,36,0
106,310.36,11,Food,0,0,56,1,40,0
107,75.48,14,Electronics,0,0,66,0,47,0
108,164.06,6,Food,1,0,32,0,56,1
109,96.97,19,Electronics,0,0,49,2,43,0
110,24.05,11,Grocery,0,0,37,4,33,0
111,23.0,23,Travel,0,0,95,3,55,0
112,169.45,6,Food,0,0,38,4,36,0
113,197.35,8,Clothing,0,0,56,1,53,0
114,263.36,5,Grocery,0,0,77,1,61,0
115,142.63,17,Clothing,0,0,56,0,47,0
116,181.95,19,Electronics,1,0,73,3,38,0
117,2.39,8,Food,0,0,83,3,56,0
118,31.02,2,Grocery,0,0,63,2,59,0
119,735.34,20,Travel,0,0,71,2,67,0
120,349.24,5,Travel,0,0,33,4,33,1
121,13.86,5,Travel,1,0,73,2,66,0
122,199.11,8,Food,0,1,45,5,37,0
123,33.96,4,Grocery,0,0,34,0,18,0
124,221.15,13,Electronics,0,1,99,3,40,0
125,214.63,6,Travel,0,0,70,2,33,0
126,46.78,16,Travel,0,0,44,1,48,0
127,55.09,7,Travel,0,0,99,3,41,0
128,186.47,15,Travel,0,0,32,2,20,0
129,86.69,5,Electronics,0,0,44,5,60,0
130,37.93,20,Grocery,0,0,52,2,33,0
131,230.66,8,Travel,0,0,81,2,43,0
132,29.35,12,Electronics,0,0,54,0,63,0
133,339.35,3,Travel,0,0,60,0,38,0
134,126.75,11,Travel,0,0,37,2,37,0
135,19.59,3,Electronics,0,0,58,2,55,0
136,207.66,11,Food,0,0,56,0,54,0
137,128.38,5,Food,0,0,30,3,19,0
138,62.05,10,Food,0,0,55,6,48,0
139,96.28,14,Electronics,0,0,44,1,50,0
140,62.12,2,Electronics,1,0,90,3,24,0
141,53.51,11,Grocery,1,0,67,5,62,0
142,31.32,14,Electronics,0,0,91,4,53,0
143,79.01,14,Travel,0,0,25,4,63,0
144,50.67,23,Clothing,0,0,41,1,56,0
145,201.67,6,Travel,0,0,47,3,41,0
146,201.91,11,Food,0,0,45,3,44,0
147,122.18,23,Electronics,0,0,68,3,31,0
148,263.84,2,Grocery,0,0,56,4,50,0
149,322.78,0,Grocery,1,0,41,2,18,0
150,152.0,15,Electronics,1,0,99,3,43,0
151,169.16,18,Food,0,0,66,1,26,0
152,58.3,0,Clothing,1,0,25,2,59,0
153,394.94,9,Clothing,0,0,76,1,18,0
154,4.3,4,Electronics,0,1,99,2,28,0
155,75.15,13,Electronics,0,0,76,4,36,0
156,224.32,11,Grocery,0,0,41,2,38,0
157,14.64,20,Travel,0,0,53,3,48,0
158,35.47,2,Travel,0,0,78,2,39,0
159,156.02,14,Electronics,0,0,43,1,33,0
160,143.94,15,Food,1,0,59,1,49,0
161,235.46,12,Grocery,0,0,44,2,54,0
162,293.6,0,Electronics,0,0,73,0,68,0
163,24.13,14,Electronics,0,0,78,4,36,0
164,3.25,6,Electronics,0,0,88,1,41,0
165,205.14,0,Grocery,0,0,82,2,47,0
166,62.88,14,Travel,0,0,90,6,28,0
167,172.43,17,Travel,0,0,94,3,27,0
168,28.61,7,Travel,1,0,34,1,52,0
169,111.0,17,Travel,0,0,46,1,59,0
170,123.09,17,Travel,0,0,43,1,41,0
171,154.23,11,Food,1,0,65,2,50,0
172,126.21,15,Travel,0,0,49,1,38,0
173,120.02,18,Food,0,0,54,3,54,0
174,70.93,15,Grocery,0,0,83,0,36,0
175,12.95,0,Food,0,0,73,2,66,0
176,16.44,0,Clothing,0,0,52,0,50,0
177,99.72,19,Food,1,0,77,4,30,0
178,77.1,6,Electronics,0,0,67,2,37,0
179,127.28,8,Electronics,0,0,68,2,39,0
180,63.75,23,Food,1,0,75,3,39,0
181,204.17,6,Travel,0,0,25,2,47,0
182,349.74,10,Travel,0,0,44,4,40,0
183,62.25,11,Grocery,1,0,41,2,20,0
184,37.59,10,Travel,1,0,62,1,42,0
185,21.65,20,Grocery,1,0,77,4,32,0
186,167.93,9,Travel,0,0,51,3,46,0
187,102.87,16,Electronics,0,0,43,2,46,0
188,36.52,12,Electronics,0,0,25,2,23,0
189,185.64,18,Travel,0,0,69,3,20,0
190,28.18,2,Clothing,0,0,38,1,42,0
191,141.69,0,Food,0,0,68,2,45,0
192,131.32,11,Grocery,1,0,44,1,35,0
193,232.33,5,Clothing,0,0,73,2,47,0
194,9.94,21,Electronics,0,0,69,4,49,0
195,383.64,11,Clothing,0,0,26,4,52,0
196,212.85,13,Travel,0,0,79,2,29,0
197,42.69,9,Travel,0,0,68,2,54,0
198,35.52,7,Food,0,0,83,2,32,0
199,99.07,12,Clothing,0,0,34,1,31,0
200,298.3,18,Food,0,1,39,0,54,0
201,324.57,9,Grocery,0,0,54,5,43,0
202,128.85,9,Electronics,0,0,59,1,37,0
203,345.74,17,Electronics,0,0,56,1,22,0
204,0.96,0,Food,0,0,25,2,55,0
205,6.28,19,Electronics,0,0,67,1,26,0
206,425.77,6,Clothing,0,0,56,4,18,0
207,261.79,18,Grocery,0,0,54,3,31,0
208,105.04,13,Clothing,0,0,62,4,52,0
209,245.61,0,Grocery,0,0,67,1,39,0
210,546.22,11,Clothing,0,0,59,0,36,0
211,259.28,20,Clothing,0,0,42,2,26,0
212,323.92,9,Clothing,0,0,34,3,43,0
213,250.66,10,Grocery,0,0,79,0,43,0
214,32.29,6,Electronics,0,0,42,4,20,0
215,314.4,19,Travel,0,0,37,2,18,0
216,38.06,8,Clothing,0,1,62,2,61,0
217,391.21,23,Food,0,0,71,2,69,0
218,107.6,19,Food,1,0,87,1,56,0
219,198.13,20,Clothing,0,0,44,0,44,0
220,120.56,12,Food,0,1,47,2,35,0
221,17.31,8,Food,0,0,66,1,41,0
222,60.23,15,Electronics,0,0,74,2,52,0
223,722.1,22,Grocery,0,0,50,3,48,0
224,567.53,23,Grocery,0,0,75,1,69,0
225,67.74,0,Clothing,0,0,50,0,53,0
226,981.6,23,Electronics,0,0,64,5,53,0
227,327.5,13,Grocery,0,0,35,1,55,0
228,165.52,17,Clothing,1,0,70,3,48,0
229,7.18,5,Grocery,0,0,72,2,40,0
230,406.27,5,Travel,0,0,66,0,37,0
231,142.92,1,Travel,0,0,25,0,48,0
232,355.67,23,Electronics,0,0,54,1,58,0
233,315.31,6,Electronics,0,0,69,3,46,0
234,313.81,11,Grocery,0,1,46,1,29,0
235,210.03,9,Clothing,0,0,86,0,30,0
236,60.4,4,Grocery,0,0,99,2,47,0
237,71.84,10,Electronics,0,0,44,1,48,0
238,64.67,12,Travel,1,0,74,1,25,0
239,3.55,20,Clothing,1,0,59,5,22,0
240,153.17,4,Food,0,0,71,2,36,0
241,210.41,7,Grocery,0,0,59,1,30,0
242,337.2,15,Electronics,0,0,58,1,47,0
243,26.48,12,Food,0,0,52,1,51,0
244,137.75,12,Electronics,0,0,72,1,46,0
245,1.41,5,Food,0,0,31,4,42,0
246,17.52,17,Grocery,0,0,48,1,39,0
247,9.77,21,Electronics,1,0,63,1,50,0
248,226.65,20,Food,0,0,50,5,27,0
249,14.82,10,Electronics,0,0,86,4,69,0
250,220.98,0,Clothing,0,0,73,1,24,0
251,50.35,13,Grocery,1,1,40,1,47,0
252,139.2,1,Clothing,1,1,42,4,39,1
253,368.44,12,Travel,0,0,57,1,61,0
254,294.11,4,Food,0,1,77,0,26,0
255,555.1,6,Clothing,0,0,68,1,45,0
256,377.33,4,Grocery,0,0,59,2,69,0
257,474.79,13,Food,0,0,59,2,33,0
258,343.15,6,Clothing,0,0,85,3,36,0
259,207.27,12,Clothing,1,0,35,2,46,0
260,32.72,23,Food,0,0,98,3,28,0
261,55.59,10,Electronics,0,0,66,2,52,0
262,41.94,3,Grocery,0,0,96,4,24,0
263,162.23,1,Clothing,0,0,61,1,57,0
264,122.8,13,Electronics,0,0,99,2,26,0
265,353.82,23,Travel,0,0,49,6,47,0
266,534.87,5,Travel,0,0,63,1,53,0
267,90.99,0,Food,0,1,78,4,35,0
268,123.77,23,Food,0,0,77,1,44,0
269,623.9,23,Electronics,0,0,44,2,52,0
270,56.68,16,Clothing,0,0,33,2,27,0
271,275.64,14,Food,0,0,45,3,35,0
272,44.74,12,Clothing,0,0,57,3,22,0
273,200.58,16,Food,0,0,59,5,53,0
274,51.29,16,Electronics,1,1,64,1,38,0
275,377.29,13,Electronics,0,0,76,0,51,0
276,144.53,5,Food,0,0,59,1,67,0
277,36.07,13,Electronics,0,1,25,1,26,0
278,44.55,11,Electronics,0,0,81,1,30,0
